ลำดับ,ชื่อสารเคมี (ไทย),ชื่อสารเคมี (อังกฤษ),CAS No
1006,เมทธิล เมอร์แคพแทน,METHYL MERCAPTAN,74-93-1
1007,เมทธิล เมทธาครีเลท,METHYL METHACRYLATE,80-62-6
1008,"เมทธิล 2-(1-เมทธิลเฮพทิล)-4,6-ไดไนโตรฟีนิล คาร์บอเนท","METHYL 2-(1-METHYLHEPTYL)-4,6-DINITROPHENYL CARBONATE 5386-68-5",-
1009,2-เมทธิล-2-เมทธิลไธโอโพรพิโอนัลดีไฮด์ โอ- เมทธิลคาร์บาโมอิลออกซีม 2-,METHYL-2-METHYLTHIOPROPIONALDEHYDE  O- METHYLCARBAMOYLOXIME 116-06-3,-
1010,"2-เมทธิลเพนเทน-2,4-ไดออล 2-","METHYLPENTANE-2,4-DIOL",107-41-5
1011,4-เมทธิลเพนทาน-2-ออล 4-,METHYLPENTAN-2-OL,108-11-2
1012,4-เมทธิลเพนทาน-2-โอน 4--,METHYLPENTAN-2-ONE,108-10-1
1013,4-เมทธิลเพนทาน-3-อีน-2-โอน 4-,METHYLPENTAN-3-EN-2-ONE,141-79-7
1014,3-เมทธิล-พารา-ฟีนิลลีนไดอะมีน ซัลเฟท 3-,METHYL-p-PHENYLENEDIAMINE SULPHATE,-
1015,4-เมทธิล-เมตา-ฟีนิลลีนไดอะมีน ซัลเฟท 4-,METHYL-m-PHENYLENEDIAMINE SULPHATE,65321-67-7
1016,2-เมทธิลโพรพาน-2-ออล 2-,METHYLPROPAN-2-OL,75-65-0
1017,2-เมทธิล-2-โพรพีน ไนไตรล์ 2-,METHYL-2-PROPENE NITRILE,126-98-7
1018,กรด 2-เมทธิลโพรพีโนอิค 2-,METHYLPROPEINOIC ACID,79-41-4
1019,เมทธิลโพรพิโอเนท,METHYLPROPIONATE,554-12-1
1020,3-เมทธิลไพราซอล-5-อิล-ไดเมทธิลคาร์บาเมท 3-,METHYLPYRAZOL-5-YL-DIMETHYL CARBAMATE,2532-43-6
1021,2-เมทธิลไพริดีน 2-,METHYLPYRIDINE,109-06-8
1022,4-เมทธิลไพริดีน 4-,METHYLPYRIDINE,108-89-4
1023,เอ็น-เมทธิล-2ไพโรลิโดน,N-METHYL-2-PYROLIDONE,872-50-4
1024,แอลฟา-เมทธิลสไตรีน,ALPHA-METHYLSTYRENE,98-83-9
1025,โอ-เมทธิลสไตรีน,O-METHYLSTYRENE,611-15-4
1026,"เมทธิล-2, 3, 5, 6-เตตระคลอโร-4,-ไพริดิล ซัลโฟน","METHYL-2, 3, 5 , 6-TETRACHLORO-4-PYRIDYL  SULPHONE",13108-52-6
1027,"เอ็น-เมทธิล-เอ็น,2,4,6-เอ็น-เตตระไนโตรอะนิลีน","N-METHYL-N,2,4,6-N-TETRANITROANILENE",479-45-8
1028,เอ็น-เมทธิล ออโท โทลูอิดีน,N-METHYL-o-TOLUIDINE,611-21-2
1029,เอ็น-เมทธิล เมตา โทลูอิดีน,N-METHYL-m-TOLUIDINE,696-44-6
1030,เอ็น-เมทธิล พารา โทลูอิดีน,N-METHYL-p-TOLUIDINE,623-09-5
1031,เมทธิลไตรคลอโรไซเลน,METHYLTRICHLOROSILANE,75-79-6
1032,1-เมทธิลไตรเมทธิลีน ไดอะครีเลท 1-,METHYLTRIMETHYLENE  DIACRYLATE,19485-03-1
1033,เมทธิล  ไวนิล  อีเธอร์,METHYL  VINYL  ETHER,107-25-5
1034,เมทธิล พาราไธออน,METHYL PARATHION,298-00-0
1035,4-เมทธอกซี-2-ไนโตรอะนิลีน 4-,METHOXY-2-NITROANILINE,96-96-8
1036,เมวินฟอส,MEVINPHOS,7786-34-7
1037,ไมพาฟอกซ์,MIPAFOX,371-86-8
1038,โมโนโครโตฟอส,MONOCROTOPHOS,6923-22-4
1039,โมโนไลนูรอน,MONOLINURON,1746-81-2
1040,โมโนโพรพิลีน ไกลคอล เมทธิล อีเธอร์,MONOPROPYLENE  GLYCOL  METHYL  ETHER,107-98-2
1041,มอร์แฟมควอท และเกลือของมอร์แฟมควอท,MORFAMQUAT  AND  SALTS,4636-83-3
1042,มอร์โฟไลน์,MORPHOLINE,110-91-8
1043,มอร์โฟไธออน,MORPHOTHION,144-41-2
1044,เบตา-แนพธิลอะมีน β-,NAPTHYLAMINE,91-59-8
1045,"โลหะนิเกิล,นิเกิลออกไซด์,นิเกิลคาร์บอเนท,นิเกิลซัลไฟด์, ลักษณะเป็นผง","NICKEL METAL, OXIDES, CARBONATES, SULPHIDES, as powders",7440-02-0
1046,ไนโตรเจนออกไซด์,NITROGEN   OXIDES,11104-93-1
1047,2-แนพธอล 2-,NAPHTHOL,135-19-3
1048,บี-แนพธอล,B-NAPHTHOL,135-19-3
1049,กรด 1-แนพธิลอะซีติค 1-,NAPHTHYLACETIC  ACID,86-87-3
1050,1-แนพธิลอะมีน 1-,NAPHTHYLAMINE,134-32-7
1051,แอลฟา-แนพธิลอะมีน,ALPHA-NAPHTHYLAMINE,134-32-7
1052,2-แนพธิลอะมีน 2-,NAPTHYLAMINE,91-59-8
1053,เกลือของ 2-แนพธิลอะมีน 2-,NAPHTHYLAMINE (SALTS),-
1054,"1, 5-แนพธิลีน ได-ไอโซไซยาเนท 1, 5-",NAPHTHYLENE DI-ISOCYANATE,3173-72-6
1055,แนพธิลอินแดนไดออน,NAPHTHYLINDANDIONE,1786-03-4
1056,"2-(1-แนพธิล)อินแดน-1,3-ไดโอน 2-(1-","NAPHTHYL) INDAN-1,3-DIONE",1786-03-4
1057,1-แนพธิล เมทธิลคาร์บาเมท 1-,NAPHTHYL-n- METHYLCARBAMATE,63-25-2
1058,"1-(1-แนพธิล)-2-ไธโอยูเรีย, (เอเอ็นทียู) 1-(1-","NAPHTHYL)-2-THIOUREA, (ANTU)",86-88-4
1059,นีโอเพนเทน,NEOPENTANE,463-82-1
1060,นีโอเพนทิล ไกลคอล ไดอะครีเลท,NEOPENTYL GLYCOL DIACRYLATE,2223-82-7
1061,"นิเกิล (โลหะ, ออกไซด์, คาร์บอเนท, ซัลไฟด์)","NICKEL (METAL, OXIDES, CARBONATES, SULPHIDES)",-
1062,นิเกิล เตตระคาร์บอนิล,NICKEL TETRACARBONYL,13463-39-3
1063,นิโคติน,NICOTINE,54-11-5
1064,เกลือของนิโคติน,NICOTINE(SALTS),-
1065,กรดไนตริค,NITRIC ACID,7697-37-2
1066,สารผสมระหว่างกรดไนตริคและกรดซัลฟูริค,NITRIC AND SULPHURIC ACIDS (MIXTURE),-
1067,5-ไนโตรอะซีแนพธีน 5-,NITROACENAPHTHENE,602-87-9
1068,ไนโตรอะนิลีน (ไอโซเมอร์ทั�งหมด),"NITROANILINE,all isomers 99-09-2 (๐)",-
1069,2-ไนโตร-พี-อะนิซิดีน 2-,NITRO-P-ANISIDINE 96-96-/8,-
1070,ไนโตรเบนซีน,NITROBENZENE,98-95-3
1071,ไนโตรเซลลูโลส,NITROCELLULOSE,9004-70-0
1072,ไนโตรอีเธน,NITROETHANE,79-24-3
1073,ไนโตรเจน ไดออกไซด์,NITROGEN DIOXIDE,10102-44-0
1074,ไนโตรเจนออกไซด์,NITROGEN OXIDES,11104-93-1
1075,ไนโตรกลีเซอรีน,NITROGLYCERINE,55-63-0
1076,ไนโตรแมนไนท์,NITROMANNITE,15825-70-4
1077,ไนโตรมีเธน,NITROMETHANE,75-52-5
1078,2-ไนโตรแนพธาลีน 2-,NITRONAPHTHALENE,581-89-5
1079,4-ไนโตรฟีนอล 4-,NITROPHENOL,100-02-7
1080,พารา-ไนโตรฟีนอล p-,NITROPHENOL,100-02-7
1081,1-ไนโตรโพรเพน 1-,NITROPROPANE,108-03-2
1082,2-ไนโตรโพรเพน 2-,NITROPROPANE,79-46-9
1083,4-ไนโตรโซอะนิลีน 4-,NITROSOANITLINE,659-49-4
1084,เอ็น-ไนโตรโซไดเมทธิลอะมีน,N-NITROSODIMETHYLAMINE,62-75-9
1085,2-ไนโตรโทลูอีน 2-,NITROTOLUENE,88-72-2
1086,4-ไนโตรโทลูอีน 4-,NITROTOLUENE,99-99-0
1087,ไนโตรโทลูอิดีน,NITROTOLUIDINE,99-55-8
1088,นอร์บอร์ไมด์,NORBORMIDE,991-42-4
1089,ออคตะเมทธิลไพโรฟอสฟอราไมด์,OCTAMETHYLPYROPHOSPHORAMIDE,152-16-9
1090,ออคเทน,OCTANE,111-65-9
1091,โอเลียม,OLEUM,8014-95-7
1092,โอมีโธเอท,OMETHOATE,1113-02-6
1093,กรดออโธฟอสฟอริค,ORTHOPHOSPHORIC ACID,7664-38-2
1094,กรดออสมิค,OSMIC ACID,20816-12-0
1095,ออสเมียม เตตระออกไซด์,OSMIUM TETRAOXIDE,20816-12-0
1096,เออร์เบน,OUABAIN,630-60-4
1097,กรดออกซาลิค,OXALIC ACID,144-62-7
1098,กรดออกซาลิค ไดเอทธิลเอสเทอร์,OXALIC ACID DIETHYLESTER,95-92-1
1099,เกลือของกรดออกซาลิค,OXALIC ACID (SALTS),-
1100,ออกไซเรน,OXIRANE,75-21-8
1101,ออกซีดีมีทอน-เมทธิล,OXYDEMETON-METHYL,301-12-2
1102,"2,2' ออกซีไดเอทธิล ไดอะครีเลท 2,2'",OXYDIETHYL DIACRYLATE,4074-88-8
1103,ออกซีไดเอทธิลีน บีส (คลอโรฟอร์เมท),OXYDIETHYLENE BIS (CHLOROFORMATE),106-75-2
1104,ออกซีไดซัลโฟทอน,OXYDISULFOTON,2497-07-6
1105,ออกซิเจน ไดฟลูออไรด์,OXYGEN DIFLUORIDE,7783-41-7
1106,พาพาเวอรีน,PAPAVERINE,58-74-2
1107,เกลือของพาพาเวอรีน,PAPAVERINE (SALTS),-
1108,กรดพาราอะซิติค (ความเข้มข้น>=60%),PARAACETIC ACID (CONCENTRETION>=60%),-
1109,พารัลดีไฮด์,PARALDEHYDE,123-63-7
1110,พาราออกซอน,PARAOXON,311-45-5
1111,พาราควอท  และเกลือของพาราควอท,PARAQUAT AND SALTS,4685-17-4
1112,พาราไธออน,PARATHION,56-38-2
1113,เพนตะอีริไทรทอล เตตระไนเตรท,PENTAERYTHRITOL   TETRANITRATE,78-11-5
1114,กรดเพอร์อะซิติค(ความเข้มข้น>=60%),PERACETIC  ACID (CONCENTRATION>=60%),79-21-0
1115,พีบูเลท,PEBULATE,1114-71-2
1116,เพนซัลโฟไธออน,PENSULFOTHION,115-90-2
1117,เพนตะบอแรน,PENTABORANE,19624-22-7
1118,เพนตะคลอโรอีเธน,PENTACHLOROETHANE,76-01-7
1119,เพนตะคลอโรแนพธาลีน,PENTACHLORONAPHTALENE,1321-64-8
1120,เพนตะคลอโรฟีนอล,PENTACHLOROPHENOL,87-86-5
1121,เพนตะอีรีไธรทอล เตตระ-อะครีเลท,PENTAERYTHRITOL TETRA-ACRYLATE,4986-89-4
1122,เพนตะอีรีไธรทอล เตตระไนเตรท (พี.อี.ที.เอ็น.),PENTAERYTHRITOL TETRANITRATE (P.E.T.N.),78-11-5
1123,เพนตะอีรีไธรทอล ไตรอะครีเลท,PENTAERYTHRITOL TRIACRYLATE,3524-68-3
1124,เพนตะเอทธิลีนเฮกซะมีน,PENTAETHYLENEHEXAMINE,4067-16-7
1125,เพนเทน,PENTANE,109-66-0
1126,"เพนเทน-2,4-ไดโอน","PENTANE-2,4-DIONE",123-54-6
1127,เทอร์ท-เพนทานอล tert-,PENTANOL,75-85-4
1128,เพนทาน-3-โอน,PENTAN-3-ONE,96-22-0
1129,เพนทิล อะซีเตท,PENTYL ACETATE,628-63-7
1130,เพนทิล โพรพิโอเนท,PENTYL PROPIONATE,624-54-4
1131,กรดเพอร์อะซีติค,PERACETIC ACID,79-21-0
1132,ปิโตรเลียม,PETROLEUM,68477-31-6
1133,กรดเพอร์คลอริค,PERCHLORIC ACID,7601-90-3
1134,เพอร์คลอโรเอทธิลีน,PERCHLOROETHYLENE,127-18-4
1135,ฟอสฟามิดอน (ส่วนผสมของไอโซเมอร์),PHOSPHAMIDON (mixed isomers),13171-21-6
1136,ออโท-ฟีนีทิดีน o-,PHENETIDINE,94-70-2
1137,พารา-ฟีนีทิดีน p-,PHENETIDINE,156-43-4
1138,เฟนแคพทัน,PHENKAPTON,2275-14-1
1139,ฟีนอล,PHENOL,108-95-2
1140,เฟนโธเอท,PHENTHOATE,2597-03-7
1141,"ฟีนิล 5,6-ไดคลอโร-2-ไตรฟลูออโรเมทธิล เบนซิมิดา โซล-1- คาร์บอกซีเลท","PHENYL 5,6-DICHLORO-2-TRIFLUOROMETHYL  BENZIMIDAZOLE-1- CARBOXYLATE 14255-88-0",-
1142,2-ฟีนิลฟีนอล 2-,PHENYLPHENOL,90-43-7
1143,2-ฟีนิลฟีนอล (เกลือของโซเดียม) 2-,"PHENYLPHENOL, (SODIUM SALT)",132-27-4
1144,เมตา-ฟีนิลลีนไดอะมีน m-,PHENYLENEDIAMINE,108-45-2
1145,พารา-ฟีนิลลีนไดอะมีน p-,PHENYLENEDIAMINE,106-50-3
1146,ออโท-ฟีนิลลีนไดอะมีน o-,PHENYLENEDIAMINE,95-54-5
1147,เมตา-ฟีนิลลีนไดอะมีน ไดไฮโดรคลอไรด์ m-,PHENYLENEDIAMINE DIHYDROCHLORIDE,541-69-5
1148,พารา-ฟีนิลลีนไดอะมีน ไดไฮโดรคลอไรด์ p-,PHENYLENEDIAMINE DIHYDROCHLORIDE,624-18-0
1149,1-ฟีนิล-3-ไพราโซลิโดน 1-,PHENYL-3-PYRAZOLIDONE,92-43-3
1150,"6-ฟีนิล-1,3,5-ไตรอะซีน-2,4-ไดอะมีน 6-","PHENYL-1,3,5-TRIAZINE-2,4-DIAMINE",91-76-9
1151,โฟเรท,PHORATE,298-02-2
1152,โฟซาเซทิม,PHOSACETIM,4104-14-7
1153,ฟอสซาโลน,PHOSALONE,2310-17-0
1154,ฟอสจีน,PHOSGENE,75-44-5
1155,ฟอสเมท,PHOSMET,732-11-6
1156,ฟอสนิคลอร์,PHOSNICHLOR,5826-76-6
1157,ฟอสฟามิดอน,PHOSPHAMIDON,13171-21-6
1158,กรดฟอสฟอริค,PHOSPHORIC ACID,7664-38-2
1159,ฟอสฟอรัส ออกซีคลอไรด์,PHOSPHORUS OXYCHLORIDE,10025-87-3
1160,ฟอสฟอรัส เพนตะคลอไรด์,PHOSPHORUS PENTACHLORIDE,10026-13-8
1161,ฟอสฟอรัส เพนตะซัลไฟด์,PHOSPHORUS PENTASULPHIDE,1314-80-3
1162,ฟอสฟอรัส เพนตอกไซด์,PHOSPHORUS PENTOXIDE,1314-56-3
1163,ฟอสฟอรัส (แดง),PHOSPHORUS (RED),7723-14-0
1164,ฟอสฟอรัส เซสควิซัลไฟด์,PHOSPHORUS SESQUISULPHIDE,1314-85-8
1165,ฟอสฟอรัส ไตรโบรไมด์,PHOSPHORUS TRIBROMIDE,7789-60-8
1166,ฟอสฟอรัส ไตรคลอไรด์,PHOSPHORUS TRICHLORIDE,7719-12-2
1167,ฟอสฟอรัส ขาวและเหลือง,"PHOSPHORUS ,WHITE and YELLOW",12185-10-3
1168,ฟอสฟอริล คอลไรด์,PHOSPHORYL CHLORIDE,10025-87-3
1169,โฟซิม,PHOXIM,14816-18-3
1170,พธาลิค แอนไฮไดรด์,PHTHALIC ANHYDRIDE,85-44-9
1171,ไฟโซสติกมีน,PHYSOSTIGMINE,57-47-6
1172,เกลือของไฟโซสติกมีน,PHYSOSTIGMINE (SALT),-
1173,2-พิโคไลน์ 2-,PICOLINE,109-06-8
1174,4-พิโคไลน์ 4-,PICOLINE,108-89-4
1175,กรดพิครามิค,PICRAMIC ACID,96-91-3
1176,กรดพิคริค,PICRIC ACID,88-89-1
1177,เกลือของกรดพิคริค,PICRIC ACID (SALT),-
1178,พิโลคาร์ไพน์,PILOCARPINE,92-13-7
1179,เกลือของพิโลคาร์ไพน์,PILOCARPINE (SALTS),-
1180,พินเนน ไฮโดรเพอร์ออกไซด์,PINANE HYDROPEROXIDE,28324-52-9
1181,พินเนน-2-อิล ไฮโดรเพอร์ออกไซด์,PINAN-2-YL HYDROPEROXIDE,28324-52-9
1182,พินโดน,PINDONE,83-26-1
1183,ไพเพอราซีน,PIPERAZINE,110-85-0
1184,ไพเพอริดีน,PIPERIDINE,110-89-4
1185,พิริมิคาร์บ,PIRIMICARB,23103-98-2
1186,พิริมิฟอส-เอทธิล,PIRIMIPHOS-ETHYL,23505-41-1
1187,"2-พิวาโลอิลอินแดน-1,3-ไดโอน 2-","PIVALOYLINDAN-1,3-DIONE",83-26-1
1188,โพลีคลอโรไบฟีนิลส์,POLYCHLOROBIPHENYLS,1336-36-3
1189,โพลีเอทธิลีน อะมีนส์,POLYETHYLENE AMINES,-
1190,โพลีคลอรีเนเต็ด ไบฟีนิล (พีซีบี),POLYCHLORINATED BIPHENYL (PCB),1336-36-3
1191,โปแตสเซียม,POTASSIUM,7440-09-7
1192,โปแตสเซียม ไบฟลูออไรด์,POTASSIUM BIFLUORIDE,7789-29-9
1193,โปแตสเซียม โบรเมท,POTASSIUM BROMATE,7758-01-2
1194,โปแตสเซียม  คลอเรท,POTASSIUM CHLORATE,3811-04-9
1195,โปแตสเซียม โครเมท,POTASSIUM CHROMATE,7789-00-6
1196,โปแตสเซียม ไดโครเมท,POTASSIUM DICHROMATE,7778-50-9
1197,โปแตสเซียม ฟลูออไรด์,POTASSIUM FLUORIDE,7789-23-3
1198,โปแตสเซียม ไฮโดรเจน ไดฟลูออไรด์,POTASSIUM HYDROGEN DIFLUORIDE,7789-29-9
1199,โปแตสเซียม ไฮดรอกไซด์,POTASSIUM HYDROXIDE,1310-58-3
1200,สารละลายโปแตสเซียม ไฮดรอกไซด์,POTASSIUM HYDROXIDE SOLUTION,1310-58-3
1201,โพแทสเซียม โครเมต,POTASSIUM CHROMATE,7789-00-6
1202,โปแตสเซียม ไนไตรท์,POTASSIUM NITRITE,7758-09-0
1203,โปแตสเซียม เพอร์คลอเรท,POTASSIUM PERCHLORATE,7778-74-7
1204,โปแตสเซียม เพอร์แมงกาเนท,POTASSIUM PERMANGANATE,7722-64-7
1205,โปแตสเซียม โพลีซัลไฟด์,POTASSIUM POLYSULPHIDES,37199-66-9
1206,เกลือโปแตสเซียมของกรดไดคลอโรไอโซไซยานูริค,POTASSIUM  SALT OF DICHLOROISOCYANURIC ACID,-
1207,เกลือโปแตสเซียมของไดไนโตร-โอ-ครีซอล (ดีเอ็นโอซี),POTASSIUM  SALT OF DINITRO-O-CRESOL (DNOC),-
1208,โปแตสเซียม ซัลไฟด์,POTASSIUM SULPHIDE,1312-73-8
1209,โพรมีคาร์บ,PROMECARB,2631-37-0
1210,โพรมูริท,PROMURIT,5836-73-7
1211,โพรพาคลอร์,PROPACHLOR,1918-16-7
1212,โพรพานอล,PROPANAL,123-38-6
1213,โพรเพน,PROPANE,74-98-6
1214,"1,3-โพรเพนซัลโทน 1,3-",PROPANESULTONE,1120-71-4
1215,โพรพานิล,PROPANIL,709-98-8
1216,1-โพรพานอล 1-,PROPANOL,71-23-8
1217,โพรเพน-2-ออล,PROPANE-2-OL,67-63-0
1218,โพรพาโนไลด์,PROPANOLIDE,57-57-8
1219,"1,3-โพรไพโอแลคโตน 1,3-",PROPIOLACTONE,57-57-8
1220,โพรพากิล แอลกอฮอล์,PROPARGYL ALCOHOL,107-19-7
1221,2-โพรพีนอล (อะโครลีน) 2-,PROPENAL  (ACROLEIN),107-02-8
1222,1-โพรพีน-2-คลอโร-1-3-ไดออล-ไดอะซีเตท 1-,"PROPEN-2-CHLORO-1,3-DIOL-DIACTATE",10118-77-6
1223,2-โพรเพน-1-ออล (อัลลิล แอลกอฮอล์) 2-,PROPEN-1-OL (ALLYL  ALCOHOL) 107-18--6,-
1224,โพรพิลีน ออกไซด์,PROPYLENE   OXIDE,75-56-9
1225,โพรพีน,PROPENE,115-07-1
1226,"3-คลอโรโพรเพน-1,2-ไดออล 3-","CHLOROPROPANE-1,2-DIOL",96-24-2
1227,โพรพิโอนัลดีไฮด์,PROPIONALDEHYDE,123-38-6
1228,กรดโพรพิโอนิค,PROPIONIC ACID,79-09-4
1229,โพรพิโอนิค แอนไฮไดรด์,PROPIONIC ANHYDRIDE,123-62-6
1230,โพรพิโอนิล คลอไรด์,PROPIONYL CHLORIDE,79-03-8
1231,โพรพอกเซอร์,PROPOXUR,114-26-1
1232,โพรพิล อะซีเตท,PROPYL ACETATE,109-60-4
1233,โพรพิล แอลกอฮอล์,PROPLY ALCOHOL,71-23-8
1234,โพรพิลเบนซีน,PROPYLBENZENE,103-65-1
1235,โพรพิล โบรไมด์,PROPYL BROMIDE,106-94-5
1236,เอส-โพรพิลบิวทิลเอทธิล ไธโอคาร์บาเมท,S-PROPYLBUTYLETHYL THIOCARBAMATE,1114-71-2
1237,โพรพิล คลอไรด์,PROPYL CHLORIDE,540-54-5
1238,โพรพิล คลอโรฟอร์เมท,PROPYL CHLOROFORMATE,109-61-5
1239,โพรพิลีน,PROPYLENE,115-07-1
1240,โพรพิลีน ไกลคอล โมโนบิวทิล อีเธอร์,PROPYLENE GLYCOL MONOBUTYL ETHER,5131-66-8
1241,โพรพิลีนอิมีน,PROPYLENEIMINE,75-55-8
1242,โพรพิลีน ออกไซด์,PROPYLENE OXIDE,75-56-9
1243,"1,2-โพรพิลีน ออกไซด์ 1,2-",PROPYLENE OXIDE,75-56-9
1244,"1,3-โพรพิลีน ออกไซด์ 1,3-",PROPYLENE OXIDE,503-30-0
1245,โพรพิล ฟอร์เมท,PROPYL FORMATE,110-74-7
1246,โพรพิล โพรพิโอเนท,PROPYL PROPIONATE,106-36-5
1247,พรอพ-2-อีน-1-ออล,PROP-2-YN-1-OL,107-19-7
1248,โพรโธเอท,PROTHOATE,2275-18-5
1249,โพรแซน-โซเดียม,PROXAN-SODIUM,140-93-2
1250,ไพราซอกซอน,PYRAZOXON,108-34-9
1251,ไพเรธรีน,I PYRETHRIN I,121-21-1
1252,ไพเรธริน,II PYRETHRIN II,121-29-9
1253,ไพเรธริน,PYRETHRINS,8003-34-7
1254,ไพริดีน,PYRIDINE,110-86-1
1255,ไพโรแคททีคอล,PYROCATECHOL,120-80-9
1256,ไพโรแกลลอล,PYROGALLOL,87-66-1
1257,ไพโรเมลลิติค ไดแอนไฮไดรด์,PYROMELLITIC DIANHYDRIDE,89-32-7
1258,ควินอล,QUINOL,123-31-9
1259,ควิโนน,QUINONE,106-51-4
1260,รีซอร์ซินอล,RESORCINOL,108-46-3
1261,รีซอร์ซินอล ไดไกลซิดิล อีเธอร์,RESORCINOL DIGLYCIDYL ETHER,101-90-6
1262,ฝุ่นขนาดที�สามารถเข้าถึงและสะสมในถุงลมปอดได้,RESPIRABLE DUST,-
1263,โรทีโนน,ROTENONE,83-79-4
1264,ชราดาน,SCHRADAN,152-16-9
1265,ซีลีเนียม,SELENIUM,7782-49-2
1266,เซเลเนียม เฮกซะฟลูออไรด์,SELENIUM  HEXAFLUORIDE,7783-79-1
1267,ซีลีเนียมและสารประกอบ,SELENIUM and COMPOUNDS,7782-49-2
1268,เซเลเนียม เฮกซะฟลูออไรด์,SELENIUM HEXAFLUORIDE,7783-91-1
1269,ซิลิคอน ไดออกไซด์,SILICON DIOXIDE,-
1270,ซิลิคอน เตตระคลอไรด์,SILICON TETRACHLORIDE,10026-04-7
1271,ซิลเวอร์ ไนเตรท,SILVER NITRATE,7761-88-8
1272,โซเดียม,SODIUM,7440-23-5
1273,โซเดียม อะไซด์,SODIUM AZIDE,26628-22-8
1274,โซเดียม ไบฟลูออไรด์,SODIUM BIFLUORIDE,1333-83-1
1275,โซเดียม คาร์บอเนท,SODIUM CARBONATE,497-19-8
1276,โซเดียม คลอเรท,SODIUM CHLORATE,7775-09-9
1277,"โซเดียม 2, 4-ไดคลอโรฟีนิล เซลโลโซฟ ซัลเฟต","SODIUM 2,4-DICHLOROPHENYL CELLOSOLVE SULFATE",136-78-7
1278,โซเดียม-เอ็น-คลอโร-พี-โทลูอีนซัลโฟนาไมด์,SODIUM-N-CHLORO-P-TOLUENESULPHONAMIDE,127-65-1
1279,"โซเดียม ไดคลอไรไอโซไซยานูเรท, ไดไฮเดรท","SODIUM DICHLOROISOCYANURATE, DIHYDRATE",51580-86-0
1280,โซเดียม ไดโครเมท,SODIUM DICHROMATE,10588-01-9
1281,โซเดียม-4-ไดเมทธิลอะมิโนเบนซีนไดอะโซซัลโฟเนท,SODIUM-4-DIMETHYLAMINOBENZENE DIAZOSULPHONATE,140-56-7
1282,โซเดียม ไดไธโอไนท์,SODIUM DITHIONITE,7775-14-6
1283,โซเดียม ฟลูออไรด์,SODIUM FLUORIDE,7681-49-4
1284,โซเดียม ไฮไดรด์,SODIUM HYDRIDE,7646-69-7
1285,โซเดียม ไฮโดรเจน ไดฟลูออไรด์,SODIUM HYDROGEN DIFLUORIDE,1333-83-1
1286,โซเดียม ไฮโดรซัลไฟท์,SODIUM HYDROSULPHITE,7775-14-6
1287,โซเดียม ไฮดรอกไซด์,SODIUM HYDROXIDE,1310-73-2
1288,"โซเดียม ไฮดรอกไซด์, แอนไฮดรัส (คอสติค โซดา)","SODIUM HYDROXIDE,  ANHYDROUS (CAUSTIC SODA)",1310-73-2
1289,โซเดียม ไฮโปคลอไรท์,SODIUM HYPOCHLORITE,7681-52-9
1290,โซเดียม ไอโซโพรพิลแซนเธท,SODIUM ISOPROPYLXANTHATE,140-93-2
1291,โซเดียม เมทธิลไดไธโอคาร์บาเมท,SODIUM METHYLDITHIOCARBAMATE,137-42-8
1292,โซเดียม ไนไตรท์,SODIUM NITRITE,7632-00-0
1293,โซเดียม เพอร์คลอเรท,SODIUM PERCHLORATE,7601-89-0
1294,โซเดียม เพอร์ออกไซด์,SODIUM PEROXIDE,1313-60-6
1295,โซเดียม พิคราเมท,SODIUM PICRAMATE,831-52-7
1296,โซเดียม โพลีซัลไฟด์,SODIUM POLYSULPHIDES,1344-08-7
1297,เกลือโซเดียมของกรดไดคลอโรไอโซไซยานูริค,SODIUM SALT OF DICHLOROISOCYANURIC ACID,-
1298,เกลือโซเดียม ของไดไนโตร-โอ-ครีซอล (ดีเอ็นโอซี),SODIUM SALT OF DINITRO-O-CRESOL (DNOC),-
1299,โซเดียม เซเลไนท์,SODIUM SELENITE,10102-18-8
1300,โซเดียม ซัลไฟด์,SODIUM SULPHIDE,1313-82-2
1301,โซเดียม ไตรคลอโรอะซีเตท (ทีซีเอ),SODIUM TRICHLOROACETATE (TCA),650-51-1
1302,สแตนนิค คลอไรด์,STANNIC CHLORIDE,7646-78-8
1303,สตรอนเทียม โครเมท,STRONTIUM CHROMATE,7789-06-2
1304,สโตรแพนทิน-เค,STROPHANTIN-K,11005-63-3
1305,สตริคนิน,STRYCHNINE,57-24-9
1306,เกลือของสตริคนิน,STRYCHNINE (SALTS),-
1307,กรดสไตฟนิค,STYPHNIC ACID,82-71-3
1308,สไตรีน,STYRENE,100-42-5
1309,ซัคซินิค แอนไฮไดรด์,SUCCINIC ANHYDRIDE,108-30-5
1310,ซัลฟอลเลท,SULFALLATE,95-06-7
1311,ซัลโฟเทพ,SULFOTEP,3689-24-5
1312,ซัลเฟอร์ ไดคลอไรด์,SULPHUR  DICHLORIDE,10545-99-0
1313,ซัลเฟอร์ไดออกไซด์,SULPHUR  DIOXIDE,7446-09-5
1314,ซัลเฟอร์ ไตรออกไซด์,SULPHUR   TRIOXIDE,7446-11-9
1315,กรดซัลฟามิค,SULPHAMIC ACID,5329-14-6
1316,กรดซัลฟานิลิค,SULPHANILIC ACID,121-57-3
1317,ซัลโฟเลน,SULPHOLANE,126-33-0
1318,กรดซัลฟูริค,SULPHURIC ACID,7664-93-9
1319,ซัลเฟอร์ ไดคลอไรด์,SULPHUR DICHLORIDE,10545-99-0
